mcap,samples,tilt_median_deg,tilt_mean_deg,tilt_p10_deg,tilt_p90_deg,tilt_min_deg,tilt_max_deg,small_angle_tilt_median_deg,circle_radius_deg,circle_center_roll_deg,circle_center_pitch_deg,circle_rmse_deg,roll_mean_deg,pitch_mean_deg,duration_sec
0526-1220-04to10.mcap,10361,5.963304464659378,5.9373432391141545,5.549497178944299,6.219505981614934,2.7960933609702217,9.500096065533745,5.97026175560105,5.8779886446232865,-0.30347987749288746,-0.29793829518046966,0.4304180188203792,-1.2524793448518592,-0.7804216707857803,523.6854331493378
0526-1239-01to04.mcap,5037,5.908389982882129,5.904985280371501,5.678639923457195,6.105389676719065,5.351493383811206,6.22381439042823,5.912794460745351,5.866216838277319,-0.20548406434141805,-0.08461799551934845,0.06029843098663032,-0.63717120576433,-1.946641516795676,254.55501222610474
0526-1248-01to04.mcap,6776,5.4386853046088435,5.422952380621724,5.205751314902763,5.617134026658727,2.6322292922037094,7.06436761918684,5.443139474274462,5.371056924462309,-0.21022205021988455,-0.03960029430919754,0.0980455813512563,-1.39743329709003,-1.065962636752413,359.0743455886841
0526-1257-04to10.mcap,11055,5.445475247541625,5.4373131977035944,5.094725104689158,5.684967844503285,2.473100398941883,11.907127867694124,5.449967926535537,5.385863239100051,-0.29839585929744283,-0.24066797217800406,0.4688475975980339,-1.2413729409119854,-0.610742360329183,558.6595387458801
0526-1313-04to10.mcap,8435,3.147562401048296,3.164311613839419,2.7532633114075793,3.521739940437751,0.5783680566805416,8.842623353106996,3.1487204385386893,3.1752204367898043,-0.2888856082099899,-0.41999836428388093,0.5208925912540904,-0.6281563462837144,-0.24437665474465659,426.5912826061249
0526-1324-01to04.mcap,2032,3.2480890787518257,3.1996969613767527,2.937391069939174,3.330776623516886,2.222404728586446,3.6324229733912077,3.2490875483100004,3.0482878714947415,-0.24699813776513255,-0.040193801305336674,0.07196778052942097,-2.096145358015679,-0.04847018030664122,102.66325855255127
0526-1332-01to04.mcap,3366,3.5313662735388345,3.507507815682686,3.290706025590981,3.6466294851211156,2.56644832966029,3.783291126044853,3.5322725355610203,3.3879197419671967,-0.20983262642156245,-0.10954261788430752,0.05655920284475141,-1.4499795142449108,-1.358932620297793,170.1457703113556
0526-1340-04to10.mcap,11814,3.427239663105106,3.437648081511641,3.094205428828119,3.7179764531477324,0.8423745896887592,10.134746973179073,3.4287178807224947,3.4299690578375865,-0.2551823999744952,-0.32787626317384966,0.45561193909968295,-0.5439683405796146,-0.35410371289645265,597.0777063369751
0526-1354-04to10.mcap,9311,3.4765717683219943,3.468504209252849,3.091492387190203,3.774671058783859,0.9242606800615291,9.502920125847771,3.4784077476311466,3.4435237126892657,-0.24314600462767977,-0.382314858457649,0.49783150873477067,-0.8082086581196635,-0.42408971933845074,470.5794403553009
lever_01-05.mcap,2498,4.749107464387981,4.747255450688871,4.654441010719344,4.861337394434336,0.003359124581241435,5.04083134097733,4.749922522054505,4.622002800453542,-0.13129211695841234,-0.15581156201961477,0.12486646831862411,0.15287426106342747,-4.176903491987499,126.25453662872314
lever_05-10.mcap,5271,4.764948304876771,4.765858718392529,4.104760392110774,5.446187257245213,0.20553441979576742,11.89350501380168,4.76886771465404,4.784134812833564,-0.35940873184908945,-0.6087728308682792,0.715876739521491,-1.0849395610769725,-0.24184927288876873,266.5785961151123
