load_state,lever,baseline_abs_yaw_rate,moment_gain_per_nm
empty,0.1,0.00985588651312668,-1.996305880760116e-06
empty,0.2,0.01971177302625336,-3.992611761520232e-06
empty,0.3,0.029567659539380033,-5.9889176422803465e-06
empty,0.4,0.03942354605250672,-7.985223523040464e-06
empty,0.5,0.06042287111130664,-8.19346341937846e-06
empty,0.6,0.09877176122853194,-6.9413257682949955e-06
empty,0.7,0.16452881686114862,-4.229310177135325e-06
empty,0.8,0.28406221050337704,-4.364388958651549e-06
empty,0.9,0.4193285215897151,-1.8456287833239893e-06
empty,1.0,0.45168397980926456,-7.318519443458326e-06
