load_state,lever,source,mass_kg,x_cg_mm,y_cg_mm,z_cg_mm,baseline_abs_yaw,moment_gain_per_nm,r2,sample_count
empty,0.1,interpolated_from_0.4,7785.0,-587.0,30.0,1726.0,0.00985588651312668,-1.996305880760116e-06,nan,1597.0
empty,0.2,interpolated_from_0.4,7785.0,-587.0,30.0,1726.0,0.01971177302625336,-3.992611761520232e-06,nan,5624.0
empty,0.3,interpolated_from_0.4,7785.0,-587.0,30.0,1726.0,0.029567659539380033,-5.9889176422803465e-06,nan,8170.0
empty,0.4,fitted,7785.0,-587.0,30.0,1726.0,0.03942354605250672,-7.985223523040464e-06,0.5359014403342048,24468.0
empty,0.5,fitted,7785.0,-587.0,30.0,1726.0,0.06042287111130664,-8.19346341937846e-06,0.8322760216235109,64921.0
empty,0.6,fitted,7785.0,-587.0,30.0,1726.0,0.09877176122853194,-6.9413257682949955e-06,0.6391931700101674,28781.0
empty,0.7,fitted,7785.0,-587.0,30.0,1726.0,0.16452881686114862,-4.229310177135325e-06,0.22291221344474077,16289.0
empty,0.8,fitted,7785.0,-587.0,30.0,1726.0,0.28406221050337704,-4.364388958651549e-06,0.06760796909737843,9791.0
empty,0.9,fitted,7785.0,-587.0,30.0,1726.0,0.4193285215897151,-1.8456287833239893e-06,0.003252754757281373,6615.0
empty,1.0,fitted,7785.0,-587.0,30.0,1726.0,0.45168397980926456,-7.318519443458326e-06,0.044548937576595504,6128.0
